Epoch 6: {'val_loss': '1.39283', 'val_r_square': '0.00556', 'train_loss': '0.95514'}
Epoch 7: {'val_loss': '1.40683', 'val_r_square': '0.00574', 'train_loss': '0.95160'}
Epoch 8: {'val_loss': '1.34892', 'val_r_square': '0.00527', 'train_loss': '0.95005'}
Epoch 9: {'val_loss': '1.37093', 'val_r_square': '0.00449', 'train_loss': '0.94462'}
Epoch 10: {'val_loss': '1.32655', 'val_r_square': '0.00676', 'train_loss': '0.94365'}
Epoch 11: {'val_loss': '1.33478', 'val_r_square': '0.00576', 'train_loss': '0.94343'}
Epoch 12: {'val_loss': '1.37019', 'val_r_square': '0.00531', 'train_loss': '0.94223'}
Epoch 13: {'val_loss': '1.40028', 'val_r_square': '0.00548', 'train_loss': '0.94147'}
Epoch 14: {'val_loss': '1.38659', 'val_r_square': '0.00673', 'train_loss': '0.94079'}
Epoch 15: {'val_loss': '1.40155', 'val_r_square': '0.00633', 'train_loss': '0.93758'}
Epoch 16: {'val_loss': '1.34630', 'val_r_square': '0.00616', 'train_loss': '0.93710'}
Epoch 17: {'val_loss': '1.36938', 'val_r_square': '0.00613', 'train_loss': '0.93685'}
Epoch 18: {'val_loss': '1.43563', 'val_r_square': '0.00567', 'train_loss': '0.93632'}
Epoch 19: {'val_loss': '1.30831', 'val_r_square': '0.00700', 'train_loss': '0.93626'}
Epoch 20: {'val_loss': '1.38844', 'val_r_square': '0.00630', 'train_loss': '0.93549'}
Epoch 21: {'val_loss': '1.34805', 'val_r_square': '0.00602', 'train_loss': '0.93356'}
Epoch 22: {'val_loss': '1.40296', 'val_r_square': '0.00670', 'train_loss': '0.93330'}
Epoch 23: {'val_loss': '1.40184', 'val_r_square': '0.00535', 'train_loss': '0.93305'}
Epoch 24: {'val_loss': '1.39461', 'val_r_square': '0.00589', 'train_loss': '0.93263'}
Epoch 25: {'val_loss': '1.40800', 'val_r_square': '0.00576', 'train_loss': '0.93253'}
Epoch 26: {'val_loss': '1.40634', 'val_r_square': '0.00633', 'train_loss': '0.93234'}
Epoch 27: {'val_loss': '1.37422', 'val_r_square': '0.00637', 'train_loss': '0.93089'}
